type,name,desc,userCount,viewCount
hashtag,LongerVideos,Try longer videos (videos longer than 1 minute)! Create longer videos to express yourself and share more of your story on TikTok,7168772,377544101393.0
hashtag,1min,,479135,11087959755.0
hashtag,IniStyleKita,"Ayuh Malaysia, let’s celebrate us! Show off your Malaysian style with the hashtag #IniStyleKita and stand to win some power prizes. 

For more info: https://vt.tiktok.com/ZSRAsEp7x/?disable_pop_gesture=true",791211,1844012408.0
effect,Personality by Jan,,65398,36140055.0
hashtag,JomTravel,#JomTravel campaign is now ongoing! It's time for you to share your travel vlog or short getaway travel video with #JomTravel using the custom-made vlog effect & stand a chance to redeem Exclusive Travel Gift Box🔥🔥 Click here for more information: https://vt.tiktok.com/ZSR135Xhb/,43198,505796385.0
sound,ชอบเธออะ (ท่อนละลาย),Ptrp Studio,4042463,0.0
effect,1950s,,30654,102730149.0
hashtag,MakanEmoji,Showcase what you eat with different emoji and join #MakanEmoji from 3 June- 9 June. Share your creative recipes or mukbang and start eating according various emoji now!🥘🍕🍽,16811,1294806849.0
hashtag,PeaceAndLove,We're all about #PeaceAndLove! ✌️,1928536,6107193054.0
effect,Bigode Mustache,,173075,257143848.0
sound,Treasure (Sped Up Version),︎︎︎,763583,0.0
